publishedAt,title,source,url
2026-02-01T13:35:01Z,Bitcoin institutions finally admit this is a bear market – so why do 70% say the price is still undervalued?,"{'id': None, 'name': 'CryptoSlate'}",https://cryptoslate.com/bitcoin-institutions-admit-we-are-in-a-bear-market-but-70-say-the-price-is-still-undervalued/
2026-02-01T13:01:15Z,These Are the Weirdest Phones I've Tested Over 14 Years,"{'id': None, 'name': 'CNET'}",https://www.cnet.com/tech/mobile/the-weirdest-phones-ive-tested-in-14-years/
2026-02-01T13:00:51Z,"Solana: On-chain activity rises, but SOL isn’t done falling – Here’s why","{'id': None, 'name': 'Ambcrypto.com'}",https://ambcrypto.com/solana-on-chain-activity-rises-but-sol-isnt-done-falling-heres-why/
2026-02-01T12:32:25Z,JPMorgan Just Called The Silver Price Top—And Issued A Massive Gold And Bitcoin Prediction - Forbes,"{'id': None, 'name': 'Slashdot.org'}",https://slashdot.org/firehose.pl?op=view&amp;id=180714606
2026-02-01T12:01:41Z,"Cryptocurrency trading: Bitcoin, Ether crash. Which is the best crypto to invest in 2026?","{'id': 'the-times-of-india', 'name': 'The Times of India'}",https://economictimes.indiatimes.com/news/international/us/cryptocurrency-trading-bitcoin-ether-crash-which-is-the-best-crypto-to-invest-in-2026/articleshow/127840907.cms
2026-02-01T12:00:42Z,Bitcoin LTH Supply Rises Again Amid Bearish Market Dynamics,"{'id': None, 'name': 'newsBTC'}",http://www.newsbtc.com/news/bitcoin/bitcoin-lth-supply-rises-again-amid-bearish-market-dynamics/
2026-02-01T12:00:42Z,Chainlink slips below $11 after 22% sell-off – Can LINK bulls defend THIS zone?,"{'id': None, 'name': 'Ambcrypto.com'}",https://ambcrypto.com/chainlink-slips-below-11-after-22-sell-off-can-link-bulls-defend-this-zone/
2026-02-01T11:45:24Z,Japan bond market chaos threatens to trigger unprecedented Bitcoin liquidations as the era of free money ends,"{'id': None, 'name': 'CryptoSlate'}",https://cryptoslate.com/japan-40-year-yield-tops-4-percent-yen-carry-trade-bitcoin/
2026-02-01T11:42:05Z,Strategy raises STRC dividend as the preferred stock's price drifts below par,"{'id': None, 'name': 'CoinDesk'}",https://www.coindesk.com/markets/2026/02/01/strategy-raises-strc-dividend-as-the-preferred-stock-s-price-drifts-below-par
2026-02-01T11:31:47Z,"Staggering amount of money you’d have if you invested $1,000 into Bitcoin 15 years ago","{'id': None, 'name': 'LADbible'}",https://www.ladbible.com/news/technology/bitcoin-money-investment-how-much-worth-it-15-years-211288-20260201
2026-02-01T11:00:39Z,Bitcoin tests long-term cost support at $76K – Market bottom?,"{'id': None, 'name': 'Ambcrypto.com'}",https://ambcrypto.com/bitcoin-tests-long-term-cost-support-at-76k-market-bottom/
2026-02-01T11:00:29Z,Here’s Why Bitcoin And The Crypto Market Are Crashing This Weekend — Details,"{'id': None, 'name': 'Bitcoinist'}",https://bitcoinist.com/why-bitcoin-and-the-crypto-market-are-crashing/
2026-02-01T11:00:00Z,An American Citizen Has Been Stuck in El Salvador’s Prison System Since the Biden Administration,"{'id': None, 'name': 'The Intercept'}",https://theintercept.com/2026/02/01/american-citizen-el-salvador-cecot-prison/
2026-02-01T10:15:57Z,"DISCOVER HOW TO RECOVER OR RETRIEVE STOLEN, LOST OR SCAMMED CRYPTOCURRENCY & USDT","{'id': None, 'name': 'Wolfram.com'}",https://community.wolfram.com/groups/-/m/t/3631955
2026-02-01T10:00:42Z,Swift Surge: New XRP Whale Amasses $206 Million In Minutes,"{'id': None, 'name': 'newsBTC'}",http://www.newsbtc.com/altcoin/swift-surge-new-xrp-whale-amasses-206-million-in-minutes/
2026-02-01T09:10:16Z,"Trump Says He Welcomes China, India Investment In Venezuela Oil","{'id': None, 'name': 'Ndtvprofit.com'}",https://www.ndtvprofit.com/world/trump-says-he-welcomes-china-india-investment-in-venezuela-oil-10924758
2026-02-01T09:00:51Z,SEC pauses ETFs and key crypto decisions ahead of another government shutdown,"{'id': None, 'name': 'Ambcrypto.com'}",https://ambcrypto.com/sec-pauses-etfs-and-key-crypto-decisions-ahead-of-another-government-shutdown/
2026-02-01T09:00:41Z,"Bitcoin Active Addresses Fall To 2020 Lows Following $83,000 Failure — What To Expect","{'id': None, 'name': 'Bitcoinist'}",https://bitcoinist.com/bitcoin-active-addresses-2020-lows-83000-failure/
2026-02-01T08:12:33Z,"Bitcoin dips below $79,000 as market digests silver sell-off, Trump's Fed chair pick - CNBC","{'id': None, 'name': 'Slashdot.org'}",https://slashdot.org/firehose.pl?op=view&amp;id=180713382
2026-02-01T08:00:33Z,"Here’s Why Bitcoin Fall Below $80,000 Could Be A Deep Pit – Analyst","{'id': None, 'name': 'newsBTC'}",http://www.newsbtc.com/news/bitcoin/heres-why-bitcoin-fall-below-80000-could-be-a-deep-pit-analyst/
