date,title,sentiment,confidence
2026-01-21T23:05:11Z,"US Treasurys face a $1.7 trillion EU “dump” over Greenland, forcing shift to Bitcoin if dollar safety vanishes",negative,0.95
2026-01-21T22:58:29Z,BlackRock: Ethereum Is Anchoring Wall Street's Tokenization Race,neutral,0.9187
2026-01-21T22:57:27Z,What Bubble? Nvidia CEO Says AI Needs Trillions More in Investments,neutral,0.8432
2026-01-21T22:37:44Z,Vivek Ramaswamy’s Strive plans to raise $150M in preferred stock sale to buy Bitcoin and repay debt,positive,0.6923
2026-01-21T22:30:00Z,Greatest Penny Harbors On desert treasure 2 online slot machine the internet Real cash in the 2026,neutral,0.8771
2026-01-21T22:25:04Z,ten Better On bonus code casino Planet the internet Pokies and you can Gambling enterprise Websites around australia 2026,neutral,0.8959
2026-01-21T22:22:17Z,"Billionaire Investor Tim Draper Tips Bitcoin Will Hit The Mythical $250,000 Mark Within Six Months",positive,0.7371
2026-01-21T22:09:42Z,"Bitcoin, stocks rally after Trump halts Greenland tariffs",negative,0.4661
2026-01-21T22:08:56Z,Bitcoin briefly erases gains posted since the start of the year,negative,0.9546
2026-01-21T22:02:45Z,Crypto Boom Ahead? Pantera Capital Pinpoints Major Catalysts For 2026 Success,neutral,0.8328
2026-01-21T22:00:24Z,SAND breaks its downtrend! Can bulls reclaim $0.20?,neutral,0.8711
2026-01-21T22:00:17Z,XRP Drops Below $2 as ETF Outflows Spike and Stablecoin Settlement Debate Clouds Outlook,negative,0.9631
2026-01-21T22:00:01Z,White House Pushes for Fast Crypto Deal as Senate Window Narrows and $1B Liquidations Rock Markets,positive,0.4887
2026-01-21T21:56:22Z,Cathie Wood’s ARK Invest Makes Bold Bitcoin and Nvidia Prediction,neutral,0.8601
2026-01-21T21:54:30Z,Ethereum Sentiment Flips Bearish as Traders Brace for Drop to $2.5K,negative,0.9533
2026-01-21T21:45:00Z,"ETH whales bought the dip, but will accumulators prevent a drop to $2.7K?",negative,0.7106
2026-01-21T21:40:32Z,Steak 'n Shake to Pay 'Bitcoin Bonus' to Hourly Employees—Here's How Much,neutral,0.9335
2026-01-21T21:24:25Z,iphone pokies Enjoy pokie hosts in your casino Chiefs Fortune mobile phone at no cost,neutral,0.9378
2026-01-21T21:24:03Z,Davos Power Brokers Say Tokenization Is Finally Working,neutral,0.6238
2026-01-21T21:24:03Z,Davos Debates Tokenization as Stablecoins Scale,neutral,0.935
